title,subtitle,content,published_date,link,address_types,coordinates,site,search_term,address
"Centro-oeste paulista registrou mais de 8 mil acidentes de trabalho e sete mortes em 2024, aponta MPT","Marília, Bauru, Lençóis Paulista, Assis e Botucatu lideram as notificações na região, segundo dados do Ministério Público do Trabalho divulgados na terça-feira (22).","O centro-oeste paulista registrou, em 2024, mais de 8,2 mil acidentes de trabalho e sete mortes relacionadas a essas ocorrências. Bauru, com 2.283 notificações e cinco mortes, é a cidade da região com o maior número de vítimas fatais, ocupando o 5º lugar no estado em mortes relacionadas ao trabalho. O levantamento não detalha a natureza dos acidentes, mas aponta que os setores com o maior número de ocorrências refletem atividades econômicas populares e com alta empregabilidade nas respectivas cidades. O centro-oeste paulista registrou, em 2024, mais de 8,2 mil acidentes de trabalho e sete mortes relacionadas a essas ocorrências, conforme levantamento divulgado na terça-feira (22) pelo Ministério Público do Trabalho, com base em dados do Sistema de Informação de Agravos de Notificação (Sinan). As cidades com os maiores números de notificações são Marília (SP), Bauru (SP), Lençóis Paulista (SP), Assis (SP) e Botucatu (SP). Bauru, com 2.283 notificações e cinco mortes, é a cidade da região com o maior número de vítimas fatais, ocupando o 5º lugar no estado em mortes relacionadas ao trabalho. Lençóis Paulista e Botucatu registraram uma morte cada, enquanto Marília e Assis não tiveram óbitos notificados. Apesar dos números expressivos, nenhuma das cinco cidades aparece entre as 10 com maior número absoluto de acidentes em todo o estado de São Paulo, que acumulou 127 mortes por acidentes de trabalho em 2024. Confira os dados por cidade: As atividades com maior número de afastamentos pelo INSS também variam conforme a vocação econômica de cada município. Em Marília, Bauru e Assis, o destaque é para o comércio varejista de alimentos, especialmente supermercados e hipermercados. Em Lençóis Paulista, a maior parte dos casos envolve atividades de apoio à produção florestal, enquanto em Botucatu a indústria com maior incidência é a fabricação de cabines, carrocerias e reboques para veículos automotores. O levantamento não detalha a natureza dos acidentes, mas aponta que os setores com maior número de ocorrências refletem atividades econômicas populares e com alta empregabilidade nas respectivas cidades. Em entrevista à TV TEM, Samuel Bispo, vice-presidente da Comissão de Direito do Trabalho da OAB de Bauru, orienta sobre os primeiros passos que devem ser tomados após um acidente de trabalho. Segundo ele, o atendimento médico imediato é sempre a prioridade. ""Após essa etapa, é essencial procurar o sindicato da sua categoria. O sindicato, além de atuar por reajustes salariais anuais, garante cláusulas sociais que asseguram direitos superiores aos previstos na CLT, especialmente em momentos delicados como este"", completa. O acidente de trabalho é caracterizado como aquele que ocorre durante a realização das atividades profissionais ou no trajeto entre a residência e o local de trabalho. Ele pode provocar lesões físicas ou alterações funcionais, comprometendo a capacidade de trabalho, e em casos mais graves, pode levar à morte. Doenças relacionadas ao ambiente e às condições de trabalho também são consideradas acidentes de trabalho.",24/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/24/centro-oeste-paulista-registrou-mais-de-8-mil-acidentes-de-trabalho-e-7-mortes-em-2024-aponta-mpt.ghtml,[],[],g1,acidente,
Defesa Civil promove oficina para preparar produtores rurais e agentes contra incêndios em Borebi confira programação,Capacitação faz parte da Operação São Paulo Sem Fogo e reúne 39 municípios da região de Bauru nesta quinta-feira (24) com programação gratuita.,"A Defesa Civil do Estado de São Paulo realiza nesta quinta-feira (24), em Borebi (SP), uma oficina preparatória da Operação São Paulo Sem Fogo, voltada especialmente para produtores rurais, brigadistas e agentes públicos. A ação faz parte da fase amarela da operação e tem como objetivo fortalecer a prevenção e o combate aos incêndios florestais durante o período de estiagem, que começa em junho. Aberta ao público rural e à comunidade envolvida na gestão de áreas naturais, a oficina acontece a partir das 8h, no Anfiteatro Gilmar Piris Morais, localizado na Rua Doze de Outubro, 429 – Centro. A Defesa Civil do Estado de São Paulo realiza nesta quinta-feira (24), em Borebi (SP), uma oficina preparatória da Operação São Paulo Sem Fogo, voltada especialmente para produtores rurais, brigadistas e agentes públicos. A ação faz parte da fase amarela da operação e tem como objetivo fortalecer a prevenção e o combate aos incêndios florestais durante o período de estiagem, que começa em junho. Aberta ao público rural e à comunidade envolvida na gestão de áreas naturais, a oficina acontece a partir das 8h, no Anfiteatro Gilmar Piris Morais, localizado na Rua Doze de Outubro, 429 – Centro. Além de aulas teóricas, o treinamento oferece práticas de campo e promove a integração entre diferentes órgãos e comunidades. Os participantes aprenderão técnicas de prevenção e combate a incêndios em propriedades rurais, acionamento de aeronaves, uso de mapas com histórico de focos de calor, além de receberem orientações sobre saúde, soltura de balões e atuação conjunta em situações de emergência.",23/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/23/defesa-civil-promove-oficina-para-preparar-produtores-rurais-e-agentes-contra-incendios-em-borebi-confira-programacao.ghtml,['Rua'],"[(-22.3145563, -49.07876599999999)]",g1,operac,Vale do Igapó
Justiça arquiva inquérito que investigava professor da Unesp suspeito de assediar alunas em Bauru,"Manifestações referentes à conduta do ex-docente Marcelo Magalhães Bulhões foram expostas em cartazes dentro do campus, em Bauru (SP), no dia 1º de julho de 2022. Professor foi demitido em janeiro de 2024.","A Justiça arquivou o inquérito que investigava acusações de importunação e assédio sexual do ex-professor Marcelo Magalhães Bulhões, do câmpus da Unesp de Bauru (SP). A decisão foi proferida pelo juiz Cláudio Augusto Saad Abujamra no dia 10 de abril após um parecer favorável do Ministério Público pelo arquivamento do processo. O professor, que ministrava aulas na Faculdade de Arquitetura, Artes, Comunicação e Design (FAAC), foi acusado no dia 1º de julho de 2022, quando cartazes que mostravam supostas conversas em rede social de conotação sexual com alunas foram colados pelo campus. Ele foi afastado por 180 dias no dia 6 de julho de 2022 e, em janeiro de 2024, foi demitido da instituição em decisão publicada pelo Diário Oficial do Estado de São Paulo. A Justiça arquivou o inquérito que investigava denúncias de importunação e assédio sexual do ex-professor Marcelo Magalhães Bulhões, do campus da Unesp de Bauru (SP). A decisão foi proferida pelo juiz Cláudio Augusto Saad Abujamra no dia 10 de abril após um parecer favorável do Ministério Público pelo arquivamento do processo. Segundo o documento do MP, nenhuma das condutas relatadas pelas vítimas justificavam a ação penal e não configuravam os delitos de assédio ou importunação. O professor, que ministrava aulas na Faculdade de Arquitetura, Artes, Comunicação e Design (FAAC), foi denunciado em 1º de julho de 2022, quando cartazes que mostravam supostas conversas em rede social de conotação sexual com alunas foram colados pelo campus (veja imagem acima). Ele foi afastado por 180 dias no dia 6 de julho de 2022 e, em janeiro de 2024, foi demitido da instituição em decisão publicada pelo Diário Oficial do Estado de São Paulo. A denúncia de 2022 não foi a primeira pois, em 2017, segundo a Unesp, foi instaurada uma apuração preliminar na instituição para investigar as denúncias de assédio contra o docente. Como procedimento, foi instaurada uma sindicância administrativa, finalizada em 2018. Ainda de acordo com a Unesp, uma comissão sindicante, à época, indicou o arquivamento dos autos com recomendações, tais como instauração de mecanismos para fomentar medidas educativas e elucidativas sobre assédio. Marcelo Magalhães Bulhões negou as acusações na época e, em nota ao g1 a respeito do arquivamento, afirmou que lutará para reconstruir sua reputação e alegou que irá entrar na justiça e processará os alunos que o difamaram. Ao g1, a reitoria da UNESP afirmou que não irá se manifestar sobre o caso. Em 2022, os estudantes da Unesp se reuniram no campus da instituição para fazer manifestações contra assédio sexual. Uma aluna, que preferiu não se identificar na ocasião, participou do ato e contou que os estudantes ocuparam vários espaços do campus. A estudante lembra que eles gritavam frases como ""assédio aqui não"". No dia 22 de março de 2018, formandas do curso de comunicação social exibiram cartazes para denunciar supostos abusos cometidos na instituição durante a cerimônia de formatura em Bauru (SP). Em nota à imprensa na ocasião, a Unesp afirmou que existia uma denúncia sobre um professor do curso de comunicação social da FAAC que estava ""em processo de apuração"". Os cartazes traziam dizeres como ""Unesp sem assédio"", ""FAAC sem assédio"", ""Alunas livres de assédio"" e ""Quero aula, não assédio"". *Sob a supervisão de Mariana Bonora.",23/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/23/justica-arquiva-inquerito-que-investigava-professor-da-unesp-suspeito-de-assediar-alunas-em-bauru.ghtml,[],[],g1,suspeit,
Homem é esfaqueado durante confusão no Parque das Nações em Bauru,Confusão ocorreu na noite de sexta-feira (18). Suspeito fugiu.,"Um homem de 49 anos foi esfaqueado no final da noite desta sexta-feira (18), no bairro Parque das Nações, em Bauru (SP). Segundo a esposa da vítima, o crime ocorreu após um desentendimento em via pública, e o homem foi atacado em frente a uma residência. A mulher tentou intervir, e a agressão só cessou com a chegada de outras pessoas. O suspeito fugiu em seguida. Um homem de 49 anos foi esfaqueado no final da noite desta sexta-feira (18), no bairro Parque das Nações, em Bauru (SP). De acordo com o boletim de ocorrência, a vítima levou ao menos cinco facadas e foi socorrida ao Pronto-Socorro Municipal Central (PSM Central). Apesar das lesões no braço direito e no pescoço, seu estado de saúde é estável e ele não corre risco de morte. Segundo a esposa da vítima, o crime ocorreu após um desentendimento em via pública, e o homem foi atacado em frente a uma residência. A mulher tentou intervir, e a agressão só cessou com a chegada de outras pessoas. O suspeito fugiu em seguida. A Polícia Militar atendeu a ocorrência, e o Serviço de Atendimento Móvel de Urgência (Samu) foi acionado para prestar socorro. A faca utilizada no crime não foi localizada. O caso foi registrado como tentativa de homicídio e será investigado pela Delegacia de Homicídios da Deic de Bauru.",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/19/homem-e-esfaqueado-durante-confusao-no-parque-das-nacoes-em-bauru.ghtml,['bairro'],"[(-22.3565942, -49.0678215)]",g1,esfaqueado,Parque das Nacoes
VÍDEO: homem pula do terceiro andar de prédio para escapar de incêndio em Bauru,"Corpo de Bombeiros apagaram as chamas e ajudaram no salvamento. A vítima foi encaminhada para Hospital Central de Bauru, em estado grave.","Um homem pulou do terceiro andar de um prédio para escapar de um incêndio no Jardim Terra Branca, em Bauru (SP), na sexta-feira (18). Segundo a Defesa Civil, o homem pulou pela janela do apartamento ao ver as chamas. O incêndio atingiu apenas um cômodo do apartamento dele. Equipes do Corpo de Bombeiros chegaram ao local para controlar o incêndio, que foi controlado no mesmo dia. O homem foi socorrido e foi levado ao Hospital Central de Bauru. O estado de saúde dele não foi divulgado. Um homem pulou do terceiro andar de um prédio para escapar de um incêndio no Jardim Terra Branca, em Bauru (SP), na sexta-feira (18). Segundo a Defesa Civil, o homem saltou pela janela do apartamento ao ver as chamas. O incêndio atingiu apenas um cômodo do apartamento dele e não houve danos estruturais. Vídeos que circulam nas redes sociais mostram a intensidade das chamas saindo pela janela, bem como um homem na janela ao lado, agarrado à borda. Segundo a Defesa Civil de Bauru, ele estaria em surto e teria ateado fogo no próprio apartamento. Assista acima. Equipes do Corpo de Bombeiros chegaram ao local para controlar o incêndio, que foi controlado no mesmo dia. O homem foi socorrido e foi levado ao Hospital Central de Bauru. Até a tarde desta sábado (19) o homem seguia internado em estado grave.",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/19/homem-se-joga-do-terceiro-andar-de-predio-para-escapar-de-incendio-em-bauru.ghtml,['Jardim'],"[(-22.3464109, -49.0905538)]",g1,bombeir,Jardim Terra Branca
Prefeitura de Bauru sanciona doação de terreno para construção de centro de saúde da Fundação Amaral Carvalho,"Terreno de 10 mil metros quadrados na zona leste será usado para construir centro de diagnóstico e, futuramente, um hospital de alta complexidade. Decisão foi publicada no Diário Oficial nesta quinta-feira (17).","A Prefeitura de Bauru (SP) sancionou nesta quinta-feira (17) o projeto de lei que autoriza a doação de um terreno de 10 mil metros quadrados à Fundação Amaral Carvalho. A área, localizada na zona leste da cidade, próxima ao Núcleo Residencial Presidente Geisel, será destinada à construção de um centro de diagnóstico e tratamento. Em Jaú (SP), onde a Fundação atua com o Hospital Amaral Carvalho, apenas em 2024, foram mais de 81 mil atendimentos, dos quais 90,8% foram realizados pelo Sistema Único de Saúde (SUS). A Prefeitura de Bauru (SP) sancionou, nesta quinta-feira (17), o projeto de lei que autoriza a doação de um terreno de 10 mil metros quadrados à Fundação Amaral Carvalho. A área, localizada na zona leste da cidade, próxima ao Núcleo Residencial Presidente Geisel, será destinada à construção de um centro de diagnóstico e tratamento. Em Jaú (SP), onde a Fundação atua com o Hospital Amaral Carvalho, apenas em 2024, foram mais de 81 mil atendimentos, dos quais 90,8% foram realizados pelo Sistema Único de Saúde (SUS). De acordo com o projeto, além da estrutura inicial, está prevista para o futuro a implantação de um complexo hospitalar, incluindo centro cirúrgico para procedimentos de alta complexidade. A doação foi justificada pelo interesse público envolvido, considerando os benefícios que a nova unidade poderá trazer à população de Bauru e região. O projeto de lei já havia sido aprovado pela Câmara Municipal e, com a publicação no Diário Oficial, passa a vigorar oficialmente.",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/17/prefeitura-de-bauru-sanciona-doacao-de-terreno-para-construcao-de-centro-de-saude-da-fundacao-amaral-carvalho.ghtml,['Núcleo'],"[(-22.3337928, -49.036078)]",g1,saude,Nucleo Residencial Presidente Geisel
Veja o que abre e o que fecha na Páscoa e no feriado de Tiradentes em cidades do centro-oeste paulista,"Confira os expedientes dos serviços públicos, parques e transporte coletivo em Bauru, Marília, Botucatu e Ourinhos (SP).","Prefeituras de Bauru, Marília, Botucatu e Ourinhos divulgaram horários especiais para serviços públicos durante o feriado da Paixão de Cristo, Páscoa e Tiradentes. Serviços de saúde, coleta de lixo e transporte coletivo terão horários especiais ou funcionarão normalmente. Repartições públicas estarão fechadas na sexta (18) e segunda (21). Com o feriado da Paixão de Cristo, Páscoa e Tiradentes nesta sexta (18), domingo (20) e segunda-feira (21), as principais cidades do centro-oeste paulista divulgaram horários de funcionamento especiais para serviços públicos. Confira como ficam os serviços essenciais em Bauru, Marília, Botucatu, Ourinhos: A Prefeitura de Bauru informa que o expediente administrativo será encerrado às 18h desta quinta-feira (17), retornando às 8h de terça-feira (22). Durante este período, alguns serviços municipais funcionarão em horários especiais. Saúde: Atendimentos médicos de urgência e emergência ocorrem de forma ininterrupta no Pronto-Socorro Central (PSC), Samu e nas quatro UPAs (Bela Vista, Mary Dota, Ipiranga e Geisel/Redentor). Parques Municipais: Transporte Coletivo: Coleta de lixo: Em Marília, a prefeitura anunciou horários especiais para alguns serviços na cidade. Serviços funcionando normalmente: Serviços com horário especial: Serviços fechados de sexta (18) até segunda (21): A Prefeitura de Botucatu informa que o expediente da prefeitura, secretarias e outros departamentos não funcionarão na sexta (18) e segunda (21). Em Ourinhos, as repartições públicas estarão fechados na sexta (18) e segunda (21), e os demais serviços terão horário especial. Atendimento Geral: Atendimento Exclusivo Casos de Dengue: Coleta de lixo: Funcionamento normal.",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/17/veja-o-que-abre-e-o-que-fecha-na-pascoa-e-no-feriado-de-tiradentes-em-cidades-do-centro-oeste-paulista.ghtml,[],[],g1,transporte,
Idoso desaparece após sair para pescar em Bauru,"Nestor Bruzzo foi visto pela última vez na manhã desta terça-feira (15). Imagens de câmera de segurança registraram o idoso na rua em que mora, antes de desaparecer.","Um idoso de 65 anos está desaparecido desde a manhã de terça-feira (15), em Bauru (SP), quando saiu para pescar. Segundo a família, Nestor Bruzzo saiu de casa no final da madrugada vestindo calça jeans, chinelo e moletom cinza, carregando uma vara e equipamentos de pesca. Uma câmera de segurança registrou Nestor passando pela Rua Altair Leite de Campos, no bairro Jardim Carolina, onde mora. Um idoso de 65 anos está desaparecido desde a manhã de terça-feira (15), em Bauru (SP), quando saiu para pescar. Segundo a família, Nestor Bruzzo saiu de casa no final da madrugada vestindo calça jeans, chinelo e moletom cinza, carregando uma vara e equipamentos de pesca. Uma câmera de segurança registrou Nestor passando pela Rua Altair Leite de Campos, no bairro Jardim Carolina, onde mora. Nas imagens, ele aparece com as roupas descritas pela família e carregando o material de pesca. Assista acima, De acordo com o boletim de ocorrência registrado pela família, Nestor está magro e careca devido às sessões de quimioterapia decorrentes do tratamento contra um câncer. Ele tem aproximadamente 1,70 m de altura, pele branca e olhos verdes. Além disso, está com um curativo no nariz por conta de uma cirurgia. Ao g1, a filha do idoso contou que ele costuma sair para pescar, mas sempre acompanhado de amigos, nunca sozinho. Quem tiver qualquer informação sobre o paradeiro de Nestor Bruzzo pode entrar em contato com a polícia pelos telefones 190 ou 181.",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/16/idoso-desaparece-apos-sair-para-pescar-em-bauru.ghtml,"['Rua', 'bairro']","[(-22.3237477, -49.0305066)]",g1,camera,Carolina
"Brownie, cookies e até sushi: com maior alta do chocolate, empreendedores apostam em ovos criativos para driblar o preço maior","Novos formatos do tradicional ovo de chocolate, incluindo lembranças para o público infantil, atraem clientes em Bauru (SP) e Marília (SP). Criatividade se faz essencial durante período de alta do chocolate.","A Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC) estimou, nesta segunda-feira (14), um aumento médio de 18,9% para o chocolate, o maior reajuste em 13 anos. Em Bauru (SP) e Marília (SP), as opções são variadas: desde lembranças mais econômicas focada no público infantil até ""ovo de sushi"", a inovação consegue se fazer presente e deliciosa. O cookie, doce americano que leva açúcar, manteiga, gotas de chocolate e essência de baunilha, ganhou um novo formato nas mãos do Rafael Araújo Peixoto, morador de Bauru (SP). Com mais de 2 milhões de visualizações, um vídeo da montagem do ""ovo de sushi"" feito por Micaela Herculano chamou atenção dos moradores da região de Marília (SP). A Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC) estimou, nesta segunda-feira (14), um aumento médio de 18,9% para o chocolate, o maior reajuste em 13 anos. Próximo da Páscoa, a alta da matéria-prima preocupa tanto os consumidores como os empreendedores, que precisam pesquisar mais e usar a criatividade para driblar os preços salgados. Em Bauru (SP) e Marília (SP), as opções são variadas: desde lembranças mais econômicas focada no público infantil até ""ovo de sushi"", a inovação consegue se fazer presente e deliciosa. Nesse cenário, o g1 conversou com quatro empreendedores que saíram do óbvio e fizeram sucesso na região. O doce americano que leva açúcar, manteiga, gotas de chocolate e essência de baunilha ganhou um novo formato nas mãos do Rafael Araújo Peixoto, morador de Bauru (SP). O confeiteiro especializado em cookies transforma as ""bolachas"" em cascas, substituindo o famoso ""ovo de chocolate"" em cookie. De acordo com o empreendedor, a opção foi um caminho natural, já que a alta demanda da época aquece muito o mercado e o público demonstra uma ótima aceitação da combinação. Ele relata também que, no cardápio especial, a famosa combinação de creme de avelã com recheio cremoso de baunilha ou leite em pó, que já faz sucesso no seu delivery durante o resto do ano, é uma das estrelas. Logo em seguida, um segundo favorito é a combinação ousada de cookie ""Red Velvet"" recheado de brigadeiro de creamcheese com Baunilha e geleia de morango artesanal. Com mais de 2 milhões de visualizações, um vídeo da montagem do ""ovo de sushi"" feito por Micaela Herculano chamou atenção dos moradores da região de Marília (SP) na Páscoa de 2024 (veja vídeo acima). Para aqueles que não são fãs de doce e apaixonados por comida oriental, o prato desenvolvido pela publicitária foi uma oportunidade de renda extra para bancar uma viagem de namoro dela e fez um sucesso tão grande que ela e a companheira, Maria Luiza Oliveira, decidiram abrir as encomendas para 2025. Apesar de terem outras profissões, o casal aproveita a época para lucrar e viram na falta de opções uma oportunidade de empreenderem. ""Dentre tantas opções doces gostosas, a gente acaba se destacando. Os clientes sempre comentam que nos escolheram pois resolveram diferenciar no presente ou até que não gostam tanto de chocolate quando compram o ovo de sushi"", finaliza. Joicy Mirelle, de Bauru (SP), decidiu abrir sua confeitaria ao perceber que não poderia trabalhar fora de casa. Seu filho ainda se recuperava de um período delicado na Unidade de Terapia Intensiva (UTI) neonatal e, mesmo diante da rotina intensa, ela precisava contribuir com as despesas da família. Ao pesquisar possíveis opções para o seu empreendimento, há 3 anos, a confeiteira encontrou o brownie, outra receita típica dos Estados Unidos que tinha o que Joicy queria: algo fora do comum. O brownie, uma marca registrada da confeiteira, também se transforma durante a Páscoa, um dos períodos mais lucrativos para a área. ""A Páscoa é cansativa, mas também é gratificante demais ver o sorriso de quem recebe algo que foi feito à mão, com dedicação e 100% artesanal."" Caroline de Souza Castilho, vendo a alta no preço do chocolate, decidiu usar a criatividade para o seu cardápio especial de Páscoa e focou no público infantil em 2025. Os ovos, costumeiramente recheados com brigadeiros e cremes, ganham cores e confeitos nas versões feitas pela empreendedora de Bauru (SP). A confeiteira, que começou no ramo inspirada em seu pai, também empresário, se aventurou pelo universo dos doces com tortas, bombons de pote, cones trufados e, durante a Páscoa, ovos com casca de chocolate. No cardápio deste ano, Caroline investiu também nas lembrancinhas, uma opção econômica e mais variada. ""Sempre tem aquela pessoa queria que gostaríamos de dar algo, e se for comprar um ovo industrializado para todos que gostaríamos, iria sair muito caro. Então, pensei: 'por que não colocar um preço acessível para poder atender todos os públicos?'"" As variações criadas, além de serem saborosas e inusitadas, aquecem o mercado e inspiram possíveis novos confeiteiros que, assim como Micaela, Rafael, Joicy e Caroline, encontram na data uma oportunidade de renda extra e realização pessoal. *Colaborou sob supervisão de Gabriela Almeida",19/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/16/brownie-cookies-e-ate-sushi-com-maior-alta-do-chocolate-empreendedores-apostam-em-ovos-criativos-para-driblar-preco-maior.ghtml,[],[],g1,sus,
"VÍDEO: caminhão que transportava bois tomba, animais escapam e rodovia é interditada no interior de SP",Acidente ocorreu na Rodovia Marechal Rondon (SP-300) entre Bauru e Agudos (SP) na tarde desta terça-feira (15). Motorista e animais não se feriram. Trecho foi liberado durante a tarde.,"Acidente aconteceu no início da tarde desta terça-feira (15), na Rodovia Marechal Rondon (SP-300), entre Bauru e Agudos (SP). Motorista perdeu o controle do caminhão, que tombou no canteiro central. Tanto o condutor quanto os animais não ficaram feridos. Polícia Rodoviária foi acionada e interditou a pista para o recolhimento dos animais. A ação já foi concluída e o tráfego no local foi normalizado. Quase 30 bois ficaram soltos na Rodovia Marechal Rondon (SP-300), entre Bauru e Agudos (SP), após o caminhão que os transportava tombar, permitindo que os animais escapassem pela pista. O acidente aconteceu no início da tarde desta terça-feira (15), por volta do quilômetro 327. O motorista perdeu o controle do veículo, que tombou no canteiro central. Tanto o condutor quanto os animais não ficaram feridos. Vídeos que circulam nas redes sociais mostram os bois soltos caminhando pelo acostamento e, em alguns casos, tentando atravessar a via. (Assista acima). A Polícia Rodoviária foi acionada e interditou a pista para o recolhimento dos animais. A ação já foi concluída e o tráfego no local foi normalizado.",12/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/15/video-caminhao-que-transportava-bois-tomba-animais-escapam-e-rodovia-e-interditada-no-interior-de-sp.ghtml,[],[],g1,interdi,
