username,text,created_at,retweets,likes,search_terms
Bene Barbosa,Instant Karma... Suspeito de tentar assaltar motorista de aplicativo tem parada cardíaca e morre após abordagem da polícia | Bauru e Marília | G1 https://t.co/B7GwXgkA2V,2019-10-18 13:18:56+00:00,85,1192,"morre, moto, polícia"
Silvia 🇧🇼,"Desde que começaram as notícias que ""Bauru controlou o contágio sem fechar nada"" pois a prefeita é bolsonarista, tenho acompanhado os boletins da cidade. Ocupação de UTI está em 125%, e em média cerca de 10 óbitos. Continuo perguntando, quem vai pagar por essa tragédia?",2021-03-30 22:40:42+00:00,36,175,upa
QoT,"Um homem foi espancado entrando em seu próprio carro por ser ""confundido com bandido""

Um homem foi espancado até a morte por cobrar seu salário atrasado.

Um homem foi morto por seu vizinho por estar ""andando muito rápido"".

Adivinha o que esses homens tinham em comum?",2022-02-03 18:57:16+00:00,581,3890,"bandido, carro, cobra, morte, morto, obra"
QoT,"Uma mulher estava bebendo num bar e acabou perdendo a consciência. Quando o bar fechou, o dono do bar e outros clientes a carregaram até o meio da rua e simplesmente a abandonaram lá inconsciente. Pouco depois, um homem passou e a estuprou.

É um inferno ser mulher nesse país.",2022-03-31 23:08:19+00:00,278,3458,estupro
Crimes Reais,"Ela anotou tudo e em seguida ligou imediatamente para a polícia. Já no local, a polícia gritava por Bárbara e um deles conseguiu ouvir sons distantes de batidas abafadas vindo do chão. Então, começaram a cavar com as mãos. https://t.co/eJy81ryHaR",2022-05-17 15:24:17+00:00,2,496,"batida, polícia"
Jô جو de Barro🐣🕊🦉🇵🇸,"A POLICIA BATEU EM ESTUDANTE
A POLICIA BATEU EM CRIANÇAS
A POLICIA BATEU EM MÃES
A POLICIA BATEU EM IDOSO
A POLICIA BATEU EM TRABALHADOR
100 FAMILIAS QUE PERDERAM TUDO PARA A ENCHENTE DEVIDO AO LEITE: FORAM AGORA AGREDIDAS, ESTÃO SENDO TORTURADAS E DESPEJADAS PELO @EduardoLeite_",2024-06-16 17:33:11+00:00,129,383,enchente
BAÚ DO RIO OFC,"⚠️ATENÇÃO: Lista de algumas comunidades com operações policiais em andamento (incluindo a Operação Ordo). Evitem a região!

Vila Kennedy (CV)
Cidade de Deus (CV)
Complexo do Chapadão (CV)
Muzema (CV)
Gardênia Azul (CV)
Rio das Pedras (5.5)
Morro do Banco (CV)
Fontela
Tijuquinha https://t.co/raFYYlKMeq",2024-07-24 13:49:28+00:00,16,626,operação
Senhora RIVOTRIL🚩❤️,🚨🚨Defesa Civil de SP diz que falta de luz ocorre em diversas cidades do estado por causa da chuva: três pessoas morreram em Bauru e duas pessoas foram socorridas em estado grave em Cotia. https://t.co/AKfEl1ONlc,2024-10-12 01:01:25+00:00,1,13,"chuva, falta de, luz, morre"
Muka do Space 🎙️,"🔴 O temporal desta sexta-feira em São Paulo causou 7 mortes na Grande SP e no interior. Em Bauru, três pessoas, incluindo uma criança, morreram com a queda de um muro. Houve óbitos por quedas de árvores na capital e em Diadema. Mais de 1,6 milhão seguem sem energia. https://t.co/6h1XoRLk5R",2024-10-12 17:36:07+00:00,7,98,"energia, morre, morte, queda, temporal, árvore"
Enfermeiro do BRICS 🇧🇷 🇷🇺🇮🇳🇨🇳🇿🇦,A polícia fascista do Tarcísio invadiu o velório de um rapaz de 18 anos morto pelo Batalhão de Operações Especiais e Bauru e agrediu todos os que estavam presentes inclusive a mãe do falecido. O irmão foi preso por “desacato” https://t.co/tyIfilv8YR,2024-10-19 13:34:16+00:00,194,774,"morto, polícia, preso"
